name,markup,category,width,height,frames,source
spr_basic_misc_shipping_bin_spring_bounce_south,[icon:spr_basic_misc_shipping_bin_spring_bounce_south],Placeables/Objects/Shipping bin,64,64,3,assets/animations/Placeables/Objects/Shipping bin/spr_basic_misc_shipping_bin_spring_bounce_south.meta.toml
spr_bugger_cursor,[icon:spr_bugger_cursor],Meta,1,10,2,assets/animations/Meta/spr_bugger_cursor.meta.toml
spr_cast_cursor_tile_blocked_select,[icon:spr_cast_cursor_tile_blocked_select],UI NEW/Fishing Cursor,24,24,4,assets/animations/UI NEW/Fishing Cursor/spr_cast_cursor_tile_blocked_select.meta.toml
spr_cast_cursor_tile_blocked_tick,[icon:spr_cast_cursor_tile_blocked_tick],UI NEW/Fishing Cursor,24,24,3,assets/animations/UI NEW/Fishing Cursor/spr_cast_cursor_tile_blocked_tick.meta.toml
spr_cast_cursor_tile_idle_select,[icon:spr_cast_cursor_tile_idle_select],UI NEW/Fishing Cursor,24,24,4,assets/animations/UI NEW/Fishing Cursor/spr_cast_cursor_tile_idle_select.meta.toml
spr_cast_cursor_tile_idle_tick,[icon:spr_cast_cursor_tile_idle_tick],UI NEW/Fishing Cursor,24,24,3,assets/animations/UI NEW/Fishing Cursor/spr_cast_cursor_tile_idle_tick.meta.toml
spr_cast_cursor_tile_lut,[icon:spr_cast_cursor_tile_lut],UI NEW/Fishing Cursor,21,256,1,assets/animations/UI NEW/Fishing Cursor/spr_cast_cursor_tile_lut.meta.toml
spr_cast_range_dot,[icon:spr_cast_range_dot],UI NEW/Fishing Cursor,8,8,1,assets/animations/UI NEW/Fishing Cursor/spr_cast_range_dot.meta.toml
spr_cursor_furniture_direction_indicator_indicator_east,[icon:spr_cursor_furniture_direction_indicator_indicator_east],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_indicator_east.meta.toml
spr_cursor_furniture_direction_indicator_indicator_north,[icon:spr_cursor_furniture_direction_indicator_indicator_north],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_indicator_north.meta.toml
spr_cursor_furniture_direction_indicator_indicator_south,[icon:spr_cursor_furniture_direction_indicator_indicator_south],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_indicator_south.meta.toml
spr_cursor_furniture_direction_indicator_indicator_west,[icon:spr_cursor_furniture_direction_indicator_indicator_west],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_indicator_west.meta.toml
spr_cursor_furniture_direction_indicator_shadow_east,[icon:spr_cursor_furniture_direction_indicator_shadow_east],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_shadow_east.meta.toml
spr_cursor_furniture_direction_indicator_shadow_north,[icon:spr_cursor_furniture_direction_indicator_shadow_north],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_shadow_north.meta.toml
spr_cursor_furniture_direction_indicator_shadow_south,[icon:spr_cursor_furniture_direction_indicator_shadow_south],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_shadow_south.meta.toml
spr_cursor_furniture_direction_indicator_shadow_west,[icon:spr_cursor_furniture_direction_indicator_shadow_west],UI NEW/Cursor,16,16,1,assets/animations/UI NEW/Cursor/spr_cursor_furniture_direction_indicator_shadow_west.meta.toml
spr_cursor_mouse_cursor_blocked,[icon:spr_cursor_mouse_cursor_blocked],UI/Cursor,10,10,1,assets/animations/UI/Cursor/spr_cursor_mouse_cursor_blocked.meta.toml
spr_cursor_mouse_cursor_grab,[icon:spr_cursor_mouse_cursor_grab],UI/Cursor,10,10,1,assets/animations/UI/Cursor/spr_cursor_mouse_cursor_grab.meta.toml
spr_cursor_mouse_cursor_idle,[icon:spr_cursor_mouse_cursor_idle],UI/Cursor,10,10,1,assets/animations/UI/Cursor/spr_cursor_mouse_cursor_idle.meta.toml
spr_cursor_mouse_cursor_interact,[icon:spr_cursor_mouse_cursor_interact],UI/Cursor,10,12,1,assets/animations/UI/Cursor/spr_cursor_mouse_cursor_interact.meta.toml
spr_cursor_mouse_cursor_sell,[icon:spr_cursor_mouse_cursor_sell],UI/Cursor,14,13,1,assets/animations/UI/Cursor/spr_cursor_mouse_cursor_sell.meta.toml
spr_cursor_placement_splotch_indicator,[icon:spr_cursor_placement_splotch_indicator],UI/Cursor,48,48,1,assets/animations/UI/Cursor/spr_cursor_placement_splotch_indicator.meta.toml
